Sequence,TimeStep,Feature_0_0,Feature_0_1,Feature_1_0,Feature_1_1,Feature_2_0,Feature_2_1
44,5,4.0,101.0,76.0,7.0,226.0,476.0
44,6,-133.0,104.0,-47.0,66.0,240.0,475.0
45,0,-48.0,143.0,-107.0,202.0,-33.0,325.0
45,1,-146.0,136.0,-270.0,164.0,-78.0,434.0
45,2,-148.0,163.0,-263.0,205.0,-114.0,427.0
45,3,-62.0,133.0,-142.0,188.0,-39.0,336.0
45,4,31.0,59.0,122.0,-63.0,118.0,463.0
45,5,175.0,-105.0,145.0,43.0,189.0,517.0
45,6,-221.0,75.0,-160.0,42.0,-164.0,492.0
46,0,-22.0,156.0,-34.0,210.0,305.0,383.0
46,1,-116.0,129.0,-161.0,140.0,-78.0,451.0
46,2,-134.0,168.0,-249.0,232.0,-47.0,403.0
46,3,-37.0,162.0,-141.0,236.0,-14.0,381.0
46,4,-107.0,82.0,-26.0,-26.0,138.0,427.0
46,5,14.0,98.0,88.0,-14.0,102.0,465.0
46,6,-117.0,125.0,21.0,55.0,131.0,441.0
47,0,-40.0,162.0,-51.0,198.0,-12.0,311.0
47,1,-94.0,169.0,-219.0,227.0,-53.0,410.0
47,2,-113.0,186.0,-247.0,232.0,-71.0,424.0
47,3,-58.0,168.0,-101.0,222.0,-33.0,298.0
47,4,-152.0,144.0,-155.0,268.0,164.0,480.0
47,5,10.0,64.0,66.0,-40.0,144.0,516.0
47,6,-156.0,139.0,-79.0,47.0,-133.0,476.0
48,0,-73.0,150.0,-152.0,184.0,-21.0,302.0
48,1,-177.0,120.0,-226.0,132.0,-108.0,457.0
48,2,-133.0,161.0,-261.0,215.0,-56.0,397.0
48,3,-90.0,157.0,-215.0,200.0,-34.0,339.0
48,4,-165.0,110.0,-168.0,197.0,149.0,442.0
48,5,9.0,50.0,130.0,-23.0,97.0,525.0
48,6,-194.0,93.0,-59.0,17.0,-168.0,501.0
49,0,-48.0,156.0,-69.0,186.0,-11.0,324.0
49,1,-141.0,129.0,-193.0,126.0,-102.0,428.0
49,2,-93.0,153.0,-199.0,225.0,-29.0,381.0
49,3,-70.0,157.0,-165.0,224.0,-51.0,338.0
49,4,-130.0,149.0,-148.0,71.0,207.0,450.0
49,5,1.0,95.0,73.0,-23.0,158.0,508.0
49,6,-172.0,114.0,-59.0,34.0,-156.0,458.0
50,0,-56.0,136.0,-113.0,199.0,-14.0,303.0
50,1,-169.0,95.0,-200.0,107.0,-41.0,426.0
50,2,-154.0,156.0,-262.0,234.0,1.0,397.0
50,3,-102.0,162.0,-200.0,226.0,11.0,323.0
50,4,-158.0,105.0,-95.0,47.0,234.0,449.0
50,5,10.0,40.0,118.0,-64.0,215.0,477.0
50,6,-155.0,84.0,-45.0,7.0,216.0,491.0
51,0,59.0,-47.0,227.0,-24.0,304.0,354.0
51,1,-163.0,123.0,-274.0,180.0,-16.0,417.0
51,2,-120.0,163.0,-239.0,258.0,-61.0,370.0
51,3,-63.0,149.0,-118.0,235.0,-17.0,331.0
51,4,-1.0,191.0,178.0,17.0,304.0,467.0
51,5,51.0,12.0,62.0,132.0,115.0,414.0
51,6,-151.0,85.0,-41.0,-18.0,-146.0,450.0
52,0,-50.0,36.0,-27.0,152.0,46.0,323.0
52,1,-173.0,124.0,-156.0,121.0,-76.0,464.0
52,2,-103.0,152.0,-218.0,225.0,10.0,384.0
52,3,-93.0,159.0,-219.0,228.0,-12.0,357.0
52,4,-152.0,113.0,-95.0,20.0,228.0,459.0
52,5,-10.0,97.0,48.0,28.0,189.0,518.0
52,6,-120.0,100.0,6.0,54.0,185.0,522.0
53,0,0.0,153.0,54.0,-48.0,304.0,367.0
53,1,-100.0,174.0,-217.0,236.0,16.0,411.0
53,2,-121.0,185.0,-245.0,266.0,-57.0,384.0
53,3,-18.0,157.0,-74.0,244.0,-14.0,316.0
53,4,-136.0,104.0,-84.0,193.0,262.0,437.0
53,5,18.0,81.0,112.0,-23.0,-165.0,469.0
53,6,-130.0,123.0,-68.0,91.0,-129.0,448.0
54,0,-51.0,171.0,-85.0,223.0,290.0,406.0
54,1,-139.0,142.0,-105.0,182.0,-88.0,448.0
54,2,-116.0,157.0,-214.0,186.0,-70.0,425.0
54,3,-58.0,176.0,-149.0,265.0,-18.0,350.0
54,4,-12.0,39.0,92.0,-92.0,132.0,449.0
54,5,83.0,80.0,188.0,-13.0,97.0,482.0
54,6,17.0,109.0,104.0,25.0,121.0,432.0
55,0,-11.0,180.0,60.0,-39.0,-3.0,295.0
55,1,-99.0,175.0,-191.0,231.0,-65.0,409.0
55,2,-115.0,175.0,-247.0,264.0,-51.0,401.0
55,3,-43.0,163.0,-107.0,246.0,-12.0,330.0
55,4,-139.0,122.0,89.0,-1.0,160.0,442.0
55,5,52.0,68.0,157.0,-21.0,124.0,462.0
55,6,-138.0,123.0,-16.0,69.0,170.0,479.0
56,0,-26.0,140.0,-46.0,212.0,289.0,389.0
56,1,-131.0,144.0,-115.0,136.0,-75.0,455.0
56,2,-93.0,173.0,-222.0,241.0,-37.0,402.0
56,3,-37.0,174.0,-139.0,243.0,-24.0,388.0
56,4,-116.0,114.0,-49.0,187.0,152.0,416.0
56,5,33.0,95.0,116.0,-18.0,117.0,474.0
56,6,-106.0,115.0,-2.0,36.0,-125.0,468.0
57,0,-45.0,154.0,-76.0,201.0,-25.0,305.0
57,1,-150.0,138.0,-252.0,184.0,-115.0,429.0
57,2,-137.0,165.0,-269.0,243.0,-69.0,407.0
57,3,-42.0,156.0,-130.0,237.0,-47.0,360.0
57,4,-151.0,92.0,84.0,8.0,156.0,443.0
57,5,30.0,63.0,133.0,-30.0,110.0,474.0
57,6,-172.0,90.0,-52.0,4.0,104.0,487.0
58,0,-60.0,153.0,-143.0,250.0,286.0,388.0
58,1,-148.0,134.0,-99.0,155.0,-41.0,445.0
58,2,-96.0,174.0,-170.0,229.0,-61.0,406.0
58,3,-67.0,173.0,-169.0,245.0,-22.0,358.0
58,4,-36.0,88.0,50.0,-13.0,86.0,426.0
58,5,18.0,108.0,94.0,7.0,109.0,434.0
58,6,-79.0,105.0,26.0,32.0,-164.0,439.0
59,0,-54.0,153.0,-101.0,209.0,258.0,413.0
59,1,-111.0,141.0,-122.0,179.0,-74.0,427.0
59,2,-117.0,165.0,-178.0,196.0,-102.0,423.0
59,3,-46.0,170.0,-114.0,232.0,-34.0,360.0
59,4,40.0,91.0,162.0,-33.0,108.0,452.0
59,5,35.0,94.0,129.0,5.0,86.0,467.0
59,6,-58.0,114.0,49.0,30.0,139.0,421.0
60,0,-65.0,154.0,-107.0,207.0,269.0,389.0
60,1,-88.0,170.0,-161.0,204.0,25.0,396.0
60,2,-128.0,156.0,-188.0,167.0,-131.0,394.0
60,3,-38.0,160.0,-130.0,235.0,-25.0,313.0
60,4,-88.0,131.0,-51.0,99.0,83.0,404.0
60,5,-2.0,90.0,70.0,-14.0,132.0,450.0
60,6,-148.0,126.0,-94.0,90.0,-116.0,444.0
61,0,-49.0,141.0,-85.0,211.0,282.0,404.0
61,1,-119.0,127.0,-83.0,156.0,-104.0,445.0
61,2,-134.0,149.0,-205.0,175.0,-89.0,422.0
61,3,-48.0,164.0,-152.0,274.0,-36.0,364.0
61,4,41.0,72.0,115.0,-56.0,131.0,440.0
61,5,81.0,73.0,160.0,-18.0,105.0,447.0
61,6,21.0,110.0,102.0,11.0,120.0,431.0
62,0,-50.0,171.0,-26.0,172.0,0.0,305.0
62,1,-135.0,151.0,-211.0,183.0,-86.0,426.0
62,2,-99.0,167.0,-244.0,271.0,-25.0,390.0
62,3,-58.0,158.0,-155.0,241.0,-42.0,333.0
62,4,-148.0,138.0,-116.0,90.0,-106.0,429.0
62,5,6.0,99.0,99.0,-17.0,120.0,465.0
62,6,-172.0,127.0,-76.0,71.0,-156.0,462.0
63,0,-44.0,161.0,-122.0,246.0,272.0,417.0
63,1,-103.0,165.0,-135.0,199.0,-72.0,441.0
63,2,-141.0,150.0,-122.0,136.0,-107.0,440.0
63,3,-39.0,166.0,-111.0,252.0,-15.0,339.0
63,4,46.0,42.0,134.0,-99.0,131.0,435.0
63,5,39.0,98.0,145.0,-10.0,108.0,494.0
63,6,-98.0,119.0,13.0,28.0,137.0,438.0
64,0,-35.0,162.0,-71.0,207.0,-7.0,321.0
64,1,-125.0,152.0,-193.0,199.0,-75.0,427.0
64,2,-136.0,174.0,-262.0,232.0,-69.0,417.0
64,3,-41.0,149.0,-109.0,231.0,-35.0,323.0
64,4,73.0,-1.0,113.0,106.0,150.0,439.0
